8;MADAM DAISY KG SK;3y a  d;FİRİKYA;BEJANOVA;57;M.A.AKGÖBEK;MEHMET AKGÖBEK;Y.C. KARATOPRAK;5;%35.24(1)  %32.19(1);33;K6K3K2;7;17;
9;NİZİPLİ KIRÇİÇEĞİ KG SK;3y a  d;ALİREİS;AKÇAY KIZI;57;B.AKÇAY;HÜSEYİN ÖZSÖNMEZ;EM.KESKİN;4;%0.73(11)  %1(10);;;;20;
10;OĞUZKANI DB SK;3y k  d;OĞUZBOYLU;KARDEŞKANI;57;G.ÖZÇELİK;SİNAN CEM UZUNGET;SEN.GÖKÇE;15 - DS;%1.24(9)  %2.73(8);;K6;14;19;
11;ŞADİNİN GÜLÜ KG K DB;3y a  d;SAADIN GÜCÜ;KIZIMESRA;57;A.ŞENBAHAR;ABDULLAH BİBA;A.TEMİZER;12;%5.25(5)  %5.66(5);;K3;14;19;
12;TEKSEVDAM KG SK;3y k  d;FATİH AĞA;DESİRE;57;K.TOKAÇOĞLU;RAMAZAN MEHMET YILDIZ;SEN.ŞEN;8;%28.79(2)  %25.58(2);33;Ç4K3Ç9K3Ç9K3;9;15;
13;TEPEBAĞ KIZI SK;3y d  d;HALİÇ;AK NİSA;53;U.LEVENT AP;A.SELÇUK LOKLAR;Ş.GÖKÇE;14;%0.27(14)  %0.25(14);14;Ç0Ç5Ç0Ç0;20;16;
14;YALINTAY KG K;3y d  d;TÜMÖZ BEY;BEGİM;53;M.T.COŞKUN AP;SELAMİ AKKILIÇ;RAM. KAYA;7;%0.46(12)  %0.45(13);;K6;12;19;
15;ZÜMRÜT SULTAN SK;3y a  d;ÖZGÜNSOYLUM;AKAD PRENSESİ;54;K.YILMAZ AP;HAYRETTİN GÖKÇE;B.ÇAPKIN;6;%0.43(13)  %0.47(12);;S9Ç0;13;18;
[(2)ASİ KADIN,(3)ASTAKOS,] eküridir.2. 5'Lİ GANYAN;5. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;PLASE;PLASE İKİLİ;SIRALI 5 Lİ BAHİS;TABELA BAHİS;TABELA BAHİS SIRASIZ;SABİT GANYAN;SABİT İKİLİ;SABİT SIRALI İKİLİ;SABİT İLK 2;SABİT İLK 3;SABİT İLK 4

6. Kosu :   20.00;ŞARTLI 3; 3 ve Yukarı İngilizler; 55.00kg; 60.00 kg; 60.00 kg; 2000m; Kum;;;;Rekor Derece :2.07.41
İkramiye;;;;;Yetiştirici Primi;;;;
1.)400.000 TL;2.)160.000 TL;3.)80.000 TL;4.)40.000 TL;5.)20.000 TL;1.)72.000 TL;2.)28.800 TL;3.)14.400 TL;4.)7.200 TL;5.)3.600 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;DAMASKO KG DB SK;4y a  a;PIANO SONATA;SELMA;58;E.AKPINAR AP;CUMA YILDIRIM;M.AKKILIÇ;4;%15.47(2)  %15.16(2);69;S1S6S5S0Ç8S3;15;15;2:09.84
2;AFTER YOU KG SK;4y d  a;DAI JIN (GB);URFAGÜLÜ;60;M.A.AKGÖBEK;YÜKSEL TEKİNALP;K.TEKİNALP;7;%7.18(5)  %7.92(5);74;K4K6K4K2K3S8;15;15;2:12.13
3;GLITTER WINGS SK (Koşmaz);4y d  a;AGRESIVO (USA);KOFA (IRE);57;BERK.GÖKÇE AP;İLHAN İYCİL;Y.DEMİRKIRAN;8;%16.29(9)  %18.34(9);89;K7K4K5K3K3K2;12;17;2:11.16
4;STASERA K DB;5y d k;CATAPULT (USA);SUBIRA (GER);58;İ.SOYAD;YAMAN KİBAR;A.AVCI;3;%7(6)  %7.21(6);77;Ç7K4K5K4S6S5;34;16;2:09.71
5;TIZONA KG DB SK;4y d  a;TOCCET (USA);INDYS SONATA (USA);58;O.YILDIZ;İBRAHİM YILDIZ;HÜS.KARABULUT;9 - DS;%19.38(1)  %17.3(1);68;K8K5K7K5K7K2;21;14;2:10.72
6;BRUSK SHOT DB SK;4y a  g;TRAPPE SHOT (USA);ÇAR BRUSK;57;N.AVCİ;NECLA AKBULUT;A.AKBULUT;1;%5.49(7)  %6.05(7);65;K5K9Ç3Ç4Ç5Ç0;10;15;
7;RÜZGAR UĞUR DB SK;6y a  a;SIDNEY'S CANDY (USA);PASİFİKA;57;G.ÖZÇELİK;MEHMET ÇELİK;M.DAŞ;6;%14.59(3)  %13.98(3);80;K7K6K9K4K2K5;16;12;2:11.03
8;JIMDEMA K;4y d k;MENDIP (USA);LADY CHARA;56;A.YILDIZ;DEMİRHAN YILMAZ;S.BEKTAŞ;2;%12.44(4)  %12.33(4);75;S3S9K4K4K9S7;43;12;2:08.50
9;QUIET RIVER KG SK;5y d k;BLUEGRASS CAT (USA);BUTTERFLY DREAMS;52;M.T.COŞKUN AP;FARUK AY;E.KARACA;5;%2.15(8)  %1.71(8);68;K7K8K7K3K6K5;9;10;2:14.96
4'LÜ GANYAN;6. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE;SABİT GANYAN;SABİT İKİLİ;SABİT SIRALI İKİLİ;SABİT İLK 2;SABİT İLK 3;SABİT İLK 4

7. Kosu :   20.30;ŞARTLI 2/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.19.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)305.000 TL;2.)122.000 TL;3.)61.000 TL;4.)30.500 TL;5.)15.250 TL;1.)91.500 TL;2.)36.600 TL;3.)18.300 TL;4.)9.150 TL;5.)4.575 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;BERKALİ KG K;3y a  e;BERKSOY;PRENSES ÇAĞLA;56;E.AKPINAR AP;İLYAS ARSLAN;B.KOCAKAYA;2;%54.8(1);43;K1;87;20;1:21.84
2;GÜMÜŞSU KG DB SK;3y d  e;SERHANTAY;HASRETKÖPRÜSÜ;57;BERK.GÖKÇE AP;GÜLİZAR FİDAN;A.KARATOPRAK;9;%8.95(3);41;S6S1S6K6;49;18;1:26.13
3;KÜÇÜK HASO KG SK;3y k  e;AKARÇAY;HANIMZEYNO;56;HA.GÖKÇE AP;HÜSEYİN ÇELİK;EM.KESKİN;8;%8.94(4);42;K1Ç6K6K5;14;17;1:27.75
4;AURORA BY KG K;3y a  d;KAYAYÜREKLİ;BALTURKIZ;58;G.ÖZÇELİK;RAMAZAN KOCAAĞAÇ;F.SEZER;5;%12.19(2);38;Ç8K0Ç0K1K6K6;21;18;1:24.94
5;ZEYMAY KG SK;3y a  d;GÜMBÜRGÜMBÜR;EFEKIZI;54;M.T.COŞKUN AP;BEŞİR KAYA;RAM. KAYA;6;%1.6(9);38;K1K4K7Ç7K9;14;16;1:32.63
6;ASRAL KG DB;3y a  e;KAYAYÜREKLİ;NAZİREHANIM;55;C.TEPE;ADNAN BALKAYA;HÜS.KARABULUT;7;%5.84(5);28;K0K9Ç0K6K0K2;7;11;1:27.34
7;MİNELTAY DB SK;3y a  d;YUNUS GİBİ;MALKİYA;52;R.KETME AP;ERCÜMENT GÜÇLÜ;HÜS.KARABULUT;3;%1.95(8);;K0Ç4;95;18;
8;TEYZEOĞLU KG DB SK;3y a  e;GÜNCANHAN;ZEMHERİ GÜLÜ;54;B.AKÇAY;HÜSEYİN ÖZSÖNMEZ;EM.KESKİN;1;%2.1(7);18;K0K7K4K7;7;16;1:34.23
9;ALPARSLANIN TAYI KG DB SK;3y a  e;AFRİKAANDER;TURBONUN GÜLÜ;55;S.ÖZEN;MEHMET NARÇİN;G.TAŞDELEN;4;%3.64(6);;S7;78;19;
2. 3'LÜ GANYAN;7. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE;SABİT GANYAN;SABİT İKİLİ;SABİT SIRALI İKİLİ;SABİT İLK 2;SABİT İLK 3;SABİT İLK 4

8. Kosu :   21.00;Handikap 15/Dişi /H2/Y1; 3 ve Yukarı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.23.67
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;MY REBELLIOUS GIRL K DB;3y d  d;KLIMT (USA);KERVANSARAYIN KIZI;59,5;M.ÇELİK;HALİL ÇANKAYA;Y.ÇANKAYA;6;%17.17(2);55;K3K1K5K2K3K4;7;17;1:28.98
2;HIZLI GÖR KG SK;4y d k;KLUGER (JPN);ASLAN MELEK;63;İ.GÜREKE;HAKAN BARIŞ;B.İLVAN;4;%8.98(5);53;K8K1K7K3K5K3;16;16;1:27.78
3;ESİN GÜZELİ KG K DB;4y a k;PERFECTO;GRAY GIRL;62,5;H.TURAN;İSA ÖZKAN;T.ATEŞ;7;%15.51(3);52;K0-K7K2K3K2K2;17;19;1:27.28
4;KUMSALIM KG DB SK;5y d k;MYBOYCHARLIE (IRE);DONT MAKE ME CRY;60,5;E.AKPINAR;SİNAN AKKUŞ;A.ÖCAL;3;%9.94(4);48;K5K4K5K1K4K4;17;18;1:27.63
5;INTERVAL KG SK;4y d k;TOROK (IRE);INTEGRAL;60;U.LEVENT;ESMER CULFA;Z.TEMUÇİN;5;%8.69(6);47;S0Ç2-S0Ç7K8S4;11;14;1:29.40
6;SEYYAHIM KG K;4y d k;MARCAVELLY (USA);PRENSES SEÇİL;60;R.KETME;BURÇİN TOPALGÖKÇELİ;D.ERGİN;1;%8.45(7);47;K5K9Ç9K6K7K2;16;11;1:29.81
7;BOUNDLESS GLORY KG DB ÖG;3y k  d;AIR VICE MARSHAL (USA);PLUS VALUE (USA);53;Y.Ş.GÜMÜŞ;MEHMET ERCÜMENT ULAŞ;H.YÜZBAŞI;2;%31.26(1);42;S7K2K3K1Ç2;62;19;1:28.72
8. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;SABİT GANYAN;SABİT İKİLİ;SABİT SIRALI İKİLİ;SABİT İLK 2;SABİT İLK 3

9. Kosu :   21.30;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.33.64
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;BODRUM İNCİSİ KG K;3y a  d;GELİBOLU;ZAZU;59;A.YILDIZ;AYTEKİN ŞEN;M.ÖZYİĞİT;7;%50.65(1);34;Ç5K2K2;7;19;
2;ÇİRKİN VE GÜZEL KG DB SK;3y k  d;EGEBEYİ;ŞENTÜRK;59;AH.ARSLAN;TUBA KAYA;RAM. KAYA;4;%11.42(2);30;K4K6Ç7K2K3K4;7;15;
3;AKÇALIKIZ KG DB SK;3y a  d;ÖZGÜNHAN;YAŞIN TAY;57;G.ÖZÇELİK;MEHMET ÇELİK;M.DAŞ;10;%1.81(7);26;K6Ç3Ç7K0;9;16;
4;ALMİNA KG SK;3y a  d;ÖZGÜNHAN;AYDANAZ;57;S.ÖZEN;FERİDE TURAN;SEN.ŞEN;6;%0.59(10);;K8K0;94;18;
5;ÇENGER DB SKG SK SGKR;3y k  d;ARASLI;SARIYELE;55;İ.GÜREKE AP;NURCAN ŞİMŞEK;F.GARZAN;3;%0.82(9);24;K0Ç7K4Ç8K8Ç0;20;13;
